Id,Building_Class,Zoning_Class,Lot_Extent,Lot_Size,Road_Type,Lane_Type,Property_Shape,Land_Outline,Utility_Type,Lot_Configuration,Property_Slope,Neighborhood,Condition1,Condition2,House_Type,House_Design,Overall_Material,House_Condition,Construction_Year,Remodel_Year,Roof_Design,Roof_Quality,Exterior1st,Exterior2nd,Brick_Veneer_Type,Brick_Veneer_Area,Exterior_Material,Exterior_Condition,Foundation_Type,Basement_Height,Basement_Condition,Exposure_Level,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Total_Basement_Area,Heating_Type,Heating_Quality,Air_Conditioning,Electrical_System,First_Floor_Area,Second_Floor_Area,LowQualFinSF,Grade_Living_Area,Underground_Full_Bathroom,Underground_Half_Bathroom,Full_Bathroom_Above_Grade,Half_Bathroom_Above_Grade,Bedroom_Above_Grade,Kitchen_Above_Grade,Kitchen_Quality,Rooms_Above_Grade,Functional_Rate,Fireplaces,Fireplace_Quality,Garage,Garage_Built_Year,Garage_Finish_Year,Garage_Size,Garage_Area,Garage_Quality,Garage_Condition,Pavedd_Drive,W_Deck_Area,Open_Lobby_Area,Enclosed_Lobby_Area,Three_Season_Lobby_Area,Screen_Lobby_Area,Pool_Area,Pool_Quality,Fence_Quality,Miscellaneous_Feature,Miscellaneous_Value,Month_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price
423,20,RLD,100,21750,Paved,NA,Reg,HLS,AllPub,I,MS,Mitchel,Artery,Norm,1Fam,1Story,5,5,1954,1954,Hip,SS,HdBoard,HdBoard,None,0,TA,TA,CB,TA,TA,No,Unf,0,Unf,0,988,988,GasA,Ex,Y,FuseA,988,0,0,988,0,0,1,0,2,1,TA,4,TF,0,NA,Attchd,1954,RFn,2,393.6591108,TA,TA,N,176.3366928,77.63394439,16.88618553,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,113000
424,60,RLD,80,9200,Paved,NA,Reg,Lvl,AllPub,I,GS,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,SS,VinylSd,VinylSd,BrkFace,473,Gd,TA,PC,Gd,TA,No,GLQ,986,Unf,0,484,1470,GasA,Gd,Y,SBrkr,1470,1160,0,2630,1,0,2,1,4,1,Gd,8,TF,1,TA,Attchd,1998,Fin,3,549.8200669,TA,TA,Y,77.30997724,69.47924322,61.71833317,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,315000
425,20,RLD,72,9000,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,SS,Wd Sdng,Wd Sdng,BrkFace,74,TA,TA,CB,Gd,TA,No,LwQ,616,Unf,0,580,1196,GasA,Gd,Y,FuseA,1196,0,0,1196,1,0,1,0,2,1,TA,6,TF,1,Gd,Attchd,1956,RFn,1,501.7282906,TA,TA,Y,205.7917925,25.53628845,3.273772609,0,0,0,NA,NA,NA,0,5,2008,WD,Normal,139000
426,60,RMD,60,3378,Paved,Grvl,Reg,HLS,AllPub,I,GS,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,SS,HdBoard,HdBoard,None,0,TA,Gd,CB,TA,TA,No,Unf,0,Unf,0,651,651,GasA,Gd,Y,SBrkr,707,682,0,1389,0,0,1,1,3,1,TA,6,TF,2,Gd,Detchd,1947,Unf,1,623.2357685,TA,TA,P,32.42711796,85.0490036,89.02731948,0,0,0,NA,NA,NA,0,9,2009,WD,Normal,135000
427,80,RLD,NA,12800,Paved,NA,Reg,Low,AllPub,I,MS,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1989,1989,Gable,SS,Wd Sdng,Wd Sdng,BrkFace,145,Gd,TA,PC,Gd,TA,Gd,GLQ,1518,Unf,0,0,1518,GasA,Gd,Y,SBrkr,1644,0,0,1644,1,1,2,0,2,1,Gd,5,TF,1,TA,Attchd,1989,Fin,2,367.3704733,TA,TA,Y,198.3338303,118.3023215,-3.708556942,0,396,0,NA,NA,NA,0,8,2009,WD,Normal,275000
428,20,RLD,77,8593,Paved,NA,IR1,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,1957,Hip,SS,MetalSd,MetalSd,None,0,TA,TA,CB,TA,TA,No,Rec,288,Unf,0,619,907,GasA,Ex,Y,SBrkr,907,0,0,907,0,0,1,0,3,1,TA,5,TF,0,NA,Detchd,1964,Unf,1,413.4062766,TA,TA,Y,65.91772339,62.43345115,97.13451128,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,109008
429,20,RLD,64,6762,Paved,NA,Reg,Lvl,AllPub,I,GS,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,SS,VinylSd,VinylSd,BrkFace,108,Gd,TA,PC,Gd,TA,No,GLQ,664,Unf,0,544,1208,GasA,Ex,Y,SBrkr,1208,0,0,1208,1,0,2,0,2,1,Gd,6,TF,0,NA,Attchd,2007,RFn,2,784.5375796,TA,TA,Y,-18.27594012,66.15418609,46.08756752,0,0,0,NA,NA,NA,0,9,2007,New,Partial,195400
430,20,RLD,130,11457,Paved,NA,IR1,Lvl,AllPub,C,GS,Timber,Norm,Norm,1Fam,1Story,6,5,1988,1988,Gable,SS,HdBoard,HdBoard,None,0,TA,TA,CB,Gd,TA,Mn,GLQ,1005,Unf,0,387,1392,GasA,TA,Y,SBrkr,1412,0,0,1412,1,0,2,0,3,1,Gd,6,TF,1,TA,Attchd,1988,Unf,2,417.5240507,TA,TA,Y,35.86157012,-2.538378011,-4.678234832,0,0,0,NA,NA,NA,0,3,2009,WD,Normal,175000
431,160,RMD,21,1680,Paved,NA,Reg,Lvl,AllPub,I,GS,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,SS,HdBoard,HdBoard,BrkFace,232,TA,TA,CB,TA,TA,No,ALQ,387,Unf,0,96,483,GasA,TA,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,TA,4,TF,0,NA,Detchd,1971,Unf,1,231.9046043,TA,TA,Y,73.39270098,27.39129867,36.58675363,0,0,0,NA,NA,NA,0,7,2008,COD,Abnorml,85400
432,50,RMD,60,5586,Paved,NA,IR1,Bnk,AllPub,I,GS,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1998,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,BT,TA,TA,No,Unf,0,Unf,0,901,901,GasA,Gd,Y,SBrkr,1088,110,0,1198,0,0,1,0,4,1,TA,7,TF,0,NA,NA,NA,NA,0,162.2674488,NA,NA,N,38.27796511,27.62539684,160.6806142,0,0,0,NA,MnPrv,NA,0,9,2008,ConLD,Abnorml,79900
433,160,RMD,24,1920,Paved,NA,Reg,Lvl,AllPub,I,GS,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,SS,HdBoard,HdBoard,BrkFace,376,TA,TA,CB,TA,TA,No,ALQ,471,Unf,0,294,765,GasA,Ex,Y,SBrkr,765,600,0,1365,1,0,1,1,2,1,TA,6,MD1,0,NA,Detchd,1971,Unf,2,583.2634698,TA,TA,Y,-78.25292427,141.8697503,-101.2514432,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,122500
434,60,RLD,100,10839,Paved,NA,IR1,Lvl,AllPub,C,GS,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,SS,VinylSd,VinylSd,None,0,TA,TA,PC,Gd,TA,No,Unf,0,Unf,0,926,926,GasA,Ex,Y,SBrkr,926,678,0,1604,0,0,2,1,3,1,TA,7,TF,1,TA,Attchd,1997,Fin,2,402.3185802,TA,TA,Y,61.55206045,99.56068167,79.60332274,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,181000
435,180,RMD,21,1890,Paved,NA,Reg,Lvl,AllPub,I,GS,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,SS,CemntBd,CmentBd,None,0,TA,Gd,CB,Gd,TA,Av,ALQ,495,Unf,0,135,630,GasA,Gd,Y,SBrkr,630,0,0,630,1,0,1,0,1,1,TA,3,TF,0,NA,NA,NA,NA,0,527.108168,NA,NA,Y,-96.45157186,31.62189314,9.412739215,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,81000
436,60,RLD,43,10667,Paved,NA,IR2,Lvl,AllPub,CulDSac,GS,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Gd,TA,Av,GLQ,385,ALQ,344,70,799,GasA,Ex,Y,SBrkr,827,834,0,1661,1,0,2,1,3,1,Gd,6,TF,1,TA,Attchd,1996,RFn,2,717.1324746,TA,TA,Y,160.9209576,-8.353584541,13.15511992,0,0,0,NA,NA,NA,0,4,2009,ConLw,Normal,212000
437,50,RMD,40,4400,Paved,NA,Reg,Lvl,AllPub,I,GS,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,SS,Stucco,Stucco,None,0,TA,TA,BT,Fa,TA,No,Unf,0,Unf,0,648,648,GasA,TA,Y,FuseA,734,384,0,1118,0,0,1,0,2,1,TA,6,TF,0,NA,Detchd,1990,Unf,2,624.578681,TA,TA,Y,40.88617036,-62.95750873,32.99702348,0,0,0,NA,NA,NA,0,10,2006,WD,Normal,116000
438,45,RMD,50,6000,Paved,NA,Reg,Lvl,AllPub,I,GS,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,SS,Wd Sdng,Wd Sdng,None,0,Gd,TA,PC,TA,TA,No,Unf,0,Unf,0,884,884,GasA,Gd,Y,SBrkr,904,0,0,904,0,0,1,0,2,1,TA,4,TF,0,NA,Detchd,1926,Unf,1,234.3731533,TA,TA,Y,106.4374805,69.50200848,45.72420569,0,0,0,NA,NA,NA,0,1,2009,WD,Normal,119000
439,30,RLD,40,4280,Paved,NA,Reg,Lvl,AllPub,I,GS,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,SS,WdShing,Stucco,None,0,TA,TA,PC,TA,TA,No,LwQ,365,Unf,0,75,440,GasA,TA,N,SBrkr,694,0,0,694,0,0,1,0,2,1,Gd,4,TF,1,Gd,Detchd,1990,Unf,1,603.6291481,Gd,TA,P,104.5060365,17.02566494,-108.3311966,0,0,0,NA,MnPrv,NA,0,3,2007,WD,Normal,90350
440,50,RLD,67,12354,Paved,Grvl,Reg,Lvl,AllPub,C,GS,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,BT,TA,Fa,Mn,Unf,0,Unf,0,684,684,GasA,Gd,Y,SBrkr,684,512,0,1196,0,0,1,0,3,1,Gd,7,TF,0,NA,Detchd,2005,Unf,2,527.2930691,TA,TA,Y,27.98357568,14.69671549,110.3249324,0,0,0,NA,GdPrv,Shed,800,8,2009,ConLI,Normal,110000
441,20,RLD,105,15431,Paved,NA,Reg,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,SS,VinylSd,VinylSd,Stone,200,Ex,TA,PC,Ex,TA,Gd,GLQ,1767,ALQ,539,788,3094,GasA,Ex,Y,SBrkr,2402,0,0,2402,1,0,2,0,2,1,Ex,10,TF,2,Gd,Attchd,2008,Fin,3,549.5099434,TA,TA,Y,177.8580126,84.79027853,113.3361855,0,170,0,NA,NA,NA,0,4,2009,WD,Normal,555000
442,90,RLD,92,12108,Paved,NA,Reg,Lvl,AllPub,I,GS,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,SS,VinylSd,VinylSd,BrkFace,270,TA,TA,CB,TA,TA,No,ALQ,133,Unf,0,1307,1440,GasA,TA,N,FuseF,1440,0,0,1440,0,0,2,0,4,2,Fa,8,TF,0,NA,NA,NA,NA,0,411.0410283,NA,NA,Y,-5.765583413,-29.34482663,-75.47564666,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,118000
443,50,RMD,52,6240,Paved,NA,Reg,Lvl,AllPub,I,GS,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,PC,TA,TA,No,Unf,0,Unf,0,1078,1078,GasA,TA,Y,SBrkr,1128,445,0,1573,0,0,2,0,3,1,TA,8,TF,1,Gd,Detchd,1930,Unf,2,-1.415920215,TA,TA,P,360.1645143,-47.12453193,-22.83083245,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,162900
444,120,RLD,53,3922,Paved,NA,Reg,Lvl,AllPub,I,GS,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,SS,WdShing,Wd Shng,BrkFace,72,Gd,TA,PC,Ex,TA,Av,Unf,0,Unf,0,1258,1258,GasA,Ex,Y,SBrkr,1258,0,0,1258,0,0,2,0,2,1,Gd,6,TF,1,Gd,Attchd,2007,Fin,3,544.8767604,TA,TA,Y,91.39900374,-57.2567806,138.7973402,0,0,0,NA,NA,NA,0,6,2007,New,Partial,172500
445,60,RLD,70,8750,Paved,NA,Reg,Lvl,AllPub,I,GS,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,SS,VinylSd,VinylSd,None,0,Gd,Gd,PC,Gd,TA,No,GLQ,642,Unf,0,273,915,GasA,Ex,Y,SBrkr,933,975,0,1908,1,0,2,1,4,1,Gd,8,TF,1,TA,Attchd,1994,Unf,2,325.8156128,TA,TA,Y,-87.13817291,-55.66666129,70.54755785,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,210000
446,20,RLD,73,9855,Paved,NA,Reg,Lvl,AllPub,C,GS,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,CB,TA,TA,No,Unf,0,Unf,0,1436,1436,GasA,Fa,Y,SBrkr,1689,0,0,1689,0,0,1,0,3,1,TA,7,TF,1,Gd,Attchd,1956,Unf,2,317.688715,TA,TA,Y,168.3993122,-3.486526371,55.93891016,0,0,0,NA,MnPrv,NA,0,11,2009,COD,Normal,127500
447,20,RLD,137,16492,Paved,NA,IR1,Lvl,AllPub,C,GS,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,SS,BrkFace,Plywood,None,0,Gd,TA,CB,TA,TA,No,ALQ,247,Rec,713,557,1517,GasA,Ex,Y,SBrkr,1888,0,0,1888,0,0,2,1,2,1,Gd,6,MD,1,Gd,Attchd,1966,Fin,2,459.9277462,TA,TA,Y,38.46653851,78.82233103,77.93079828,0,0,0,NA,NA,NA,0,6,2010,WD,Normal,190000
448,60,RLD,NA,11214,Paved,NA,IR1,Lvl,AllPub,C,GS,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,0,930,930,GasA,Gd,Y,SBrkr,956,930,0,1886,0,0,2,1,4,1,Gd,10,TF,1,TA,Attchd,1998,Fin,2,348.0166417,TA,TA,Y,-65.0973723,86.75525005,22.26928595,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,199900
449,50,RMD,50,8600,Paved,NA,Reg,Bnk,AllPub,I,GS,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,BT,TA,TA,No,Unf,0,Unf,0,780,780,GasA,TA,Y,SBrkr,780,596,0,1376,0,0,2,0,3,1,TA,7,TF,1,Gd,Detchd,1937,Unf,1,390.4622698,TA,TA,N,192.1481363,-33.17788333,-44.00512842,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,119500
450,50,RMD,50,6000,Paved,NA,Reg,Lvl,AllPub,I,GS,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,SS,MetalSd,MetalSd,None,0,TA,Gd,CB,TA,TA,No,ALQ,331,Unf,0,318,649,GasA,Ex,Y,SBrkr,679,504,0,1183,0,0,1,1,2,1,TA,6,TF,0,NA,Detchd,1981,Unf,1,534.0513095,TA,TA,Y,77.62304111,-18.49058553,15.47457256,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,120000
451,30,RMD,70,5684,Paved,NA,Reg,Lvl,AllPub,I,GS,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,BT,TA,TA,No,Unf,0,Unf,0,813,813,GasA,Ex,Y,FuseA,813,0,0,813,0,0,1,0,2,1,Gd,5,TF,0,NA,Detchd,1932,Unf,1,793.5695668,Fa,Fa,N,159.8654717,112.1555166,-48.76290542,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,110000
452,20,RLD,62,70761,Paved,NA,IR1,Low,AllPub,I,MS,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WSh,Plywood,Plywood,None,0,TA,TA,CB,Gd,TA,Gd,ALQ,655,Unf,0,878,1533,GasA,TA,Y,SBrkr,1533,0,0,1533,1,0,2,0,2,1,Gd,5,TF,2,TA,Attchd,1975,Unf,2,643.3408253,TA,TA,Y,98.51869718,87.68020271,66.02472263,0,0,0,NA,NA,NA,0,12,2006,WD,Normal,280000
453,60,RLD,NA,9303,Paved,NA,IR1,Lvl,AllPub,C,GS,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,SS,VinylSd,VinylSd,BrkFace,42,Gd,TA,PC,Ex,TA,No,ALQ,742,Unf,0,130,872,GasA,Ex,Y,SBrkr,888,868,0,1756,1,0,2,1,3,1,TA,7,TF,0,NA,Attchd,1996,Fin,2,332.2868321,TA,TA,Y,220.686745,-127.0539984,-35.31421196,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,204000
454,60,FVR,75,9000,Paved,NA,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,0,768,768,GasA,Ex,Y,SBrkr,786,804,0,1590,0,0,2,1,3,1,Gd,6,TF,0,NA,Attchd,2008,RFn,2,714.3276724,TA,TA,Y,181.9780803,45.18672971,64.07487209,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,210000
455,90,RLD,63,9297,Paved,NA,Reg,Lvl,AllPub,I,GS,Mitchel,Norm,Norm,Duplex,1Story,5,5,1976,1976,Gable,SS,Plywood,Plywood,None,0,TA,TA,CB,TA,TA,No,ALQ,1606,Unf,0,122,1728,GasA,TA,Y,SBrkr,1728,0,0,1728,2,0,2,0,4,2,TA,8,TF,0,NA,Detchd,1976,Unf,2,434.8290819,TA,TA,Y,182.7209084,-6.30941496,39.19103208,0,0,0,NA,NA,NA,0,7,2006,WD,Family,188000
456,20,RLD,80,9600,Paved,NA,Reg,Lvl,AllPub,I,GS,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,SS,HdBoard,HdBoard,BrkFace,320,TA,TA,CB,TA,TA,No,ALQ,916,Unf,0,326,1242,GasA,Fa,Y,SBrkr,1242,0,0,1242,0,0,1,1,3,1,TA,6,TF,1,TA,Attchd,1973,Unf,2,703.7467679,TA,TA,Y,193.685816,36.39550151,73.91548022,0,0,0,NA,NA,NA,0,9,2007,WD,Normal,175500
457,70,RMD,34,4571,Paved,Grvl,Reg,Lvl,AllPub,I,GS,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,SS,AsbShng,AsbShng,None,0,TA,TA,BT,TA,TA,No,Unf,0,Unf,0,624,624,GasA,Fa,N,SBrkr,624,720,0,1344,0,0,1,0,4,1,TA,7,TF,0,NA,Detchd,1916,Unf,3,809.1098135,Fa,Fa,Y,326.4237735,122.3195967,142.6666542,0,0,0,NA,NA,NA,0,5,2008,COD,Abnorml,98000
458,20,RLD,NA,53227,Paved,NA,IR1,Low,AllPub,CulDSac,MS,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,TG,Plywood,Plywood,None,0,TA,TA,CB,Gd,TA,Gd,BLQ,1116,Unf,0,248,1364,GasA,Ex,Y,SBrkr,1663,0,0,1663,1,0,1,0,2,1,Gd,6,MD1,2,Gd,Attchd,1954,Fin,2,470.2549152,TA,TA,Y,175.3667492,80.95448059,96.27515034,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,256000
459,70,RMD,NA,5100,Paved,Grvl,Reg,Lvl,AllPub,I,GS,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,SS,Stucco,Wd Shng,None,0,TA,Gd,PC,TA,TA,No,Unf,0,Unf,0,588,588,GasA,Fa,Y,SBrkr,833,833,0,1666,0,0,1,0,3,1,Gd,7,TF,1,Gd,Detchd,1925,Unf,1,867.9352018,TA,TA,Y,-15.57014418,126.5126933,59.35696148,0,0,0,NA,MnPrv,NA,0,6,2008,WD,Normal,161000
460,50,RLD,NA,7015,Paved,NA,IR1,Bnk,AllPub,C,GS,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950,Gable,SS,MetalSd,MetalSd,BrkCmn,161,TA,TA,CB,TA,TA,No,LwQ,185,Unf,0,524,709,GasA,TA,Y,SBrkr,979,224,0,1203,1,0,1,0,3,1,Gd,5,TF,1,TA,Detchd,1950,Unf,1,330.6034094,TA,TA,Y,187.6837953,155.1911337,40.1146322,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,110000
461,60,FVR,75,8004,Paved,NA,IR1,Lvl,AllPub,I,GS,Somerst,RRAn,Norm,1Fam,2Story,8,5,2009,2009,Gable,SS,VinylSd,VinylSd,Stone,110,Gd,TA,PC,Gd,TA,No,GLQ,544,Unf,0,288,832,GasA,Ex,Y,SBrkr,832,1103,0,1935,1,0,2,1,3,1,TA,8,TF,0,NA,BuiltIn,2009,Fin,2,584.8391941,TA,TA,Y,-181.3096866,62.57901783,4.148261174,0,0,0,NA,NA,NA,0,12,2009,New,Partial,263435
462,70,RLD,60,7200,Paved,NA,Reg,Lvl,AllPub,I,GS,SWISU,Feedr,Norm,1Fam,2Story,7,9,1936,2007,Gable,SS,Wd Sdng,Wd Sdng,None,0,Gd,Gd,PC,Gd,Gd,No,ALQ,350,BLQ,210,0,560,GasA,Ex,Y,SBrkr,575,560,0,1135,1,0,1,0,3,1,Gd,6,TF,0,NA,Detchd,1971,RFn,2,537.5928135,TA,TA,Y,207.4894218,71.00105293,96.3533659,0,0,0,NA,MnPrv,NA,0,4,2009,WD,Normal,155000
463,20,RLD,60,8281,Paved,NA,IR1,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,CB,TA,TA,No,Rec,553,BLQ,311,0,864,GasA,Gd,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,TA,5,TF,1,Po,Detchd,1965,Unf,1,691.5045035,TA,TA,Y,97.93910272,-22.60804418,-68.12951023,0,0,0,NA,GdWo,NA,0,12,2009,WD,Normal,62383
464,70,RLD,74,11988,Paved,NA,IR1,HLS,AllPub,I,MS,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,1995,Hip,SS,Stucco,Stucco,None,0,TA,TA,CB,TA,TA,No,LwQ,326,Unf,0,389,715,GasA,Fa,Y,FuseA,849,811,0,1660,0,0,1,1,3,1,TA,6,TF,1,Gd,Detchd,1939,Unf,1,763.8071509,TA,TA,Y,116.2591009,85.48966465,23.73904714,0,0,0,NA,NA,NA,0,8,2008,WD,Normal,188700
465,20,RLD,60,8430,Paved,NA,Reg,HLS,AllPub,I,MS,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,SS,HdBoard,HdBoard,BrkFace,136,TA,TA,CB,Gd,TA,No,Rec,616,Unf,0,424,1040,GasA,TA,Y,SBrkr,1040,0,0,1040,0,0,2,0,3,1,TA,5,TF,0,NA,NA,NA,NA,0,699.7335669,NA,NA,Y,-182.6358171,-56.5750289,11.80032932,0,0,0,NA,NA,NA,0,8,2009,WD,Normal,124000
466,120,RMD,NA,3072,Paved,NA,Reg,Lvl,AllPub,I,GS,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Hip,SS,VinylSd,VinylSd,BrkFace,18,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,0,1375,1375,GasA,Ex,Y,SBrkr,1414,0,0,1414,0,0,2,0,2,1,Gd,6,TF,1,TA,Attchd,2004,Fin,2,744.5657775,TA,TA,Y,215.8746654,150.0541936,-35.07328672,0,0,0,NA,NA,NA,0,5,2006,WD,Normal,178740
467,20,RLD,85,10628,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,TG,Plywood,Plywood,None,0,TA,Gd,CB,TA,Gd,Gd,GLQ,778,Unf,0,499,1277,GasA,TA,Y,SBrkr,1277,0,0,1277,1,0,1,0,2,1,TA,5,TF,1,Po,Attchd,1970,Unf,2,763.248664,TA,TA,Y,317.8072432,-51.73011191,25.97466909,0,176,0,NA,GdWo,NA,0,4,2007,WD,Normal,167000
468,70,RLD,79,9480,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Artery,Norm,1Fam,2Story,5,7,1942,1995,Gable,SS,MetalSd,MetalSd,Stone,224,TA,TA,CB,TA,TA,No,LwQ,386,Unf,0,342,728,GasA,Ex,Y,SBrkr,888,756,0,1644,0,0,1,1,3,1,Gd,7,TF,2,Gd,Attchd,1942,Unf,1,128.5611019,TA,TA,Y,57.80394765,34.78080656,40.57597048,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,146500
469,20,RLD,98,11428,Paved,NA,IR1,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,SS,VinylSd,VinylSd,Stone,248,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,0,1626,1626,GasA,Ex,Y,SBrkr,1634,0,0,1634,0,0,2,0,3,1,Gd,7,TF,1,Gd,Attchd,2006,RFn,3,89.09024287,TA,TA,Y,54.11230729,16.52545613,133.5342435,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,250000
470,60,RLD,76,9291,Paved,NA,IR1,Lvl,AllPub,C,GS,SawyerW,RRNe,Norm,1Fam,2Story,6,5,1993,1993,Gable,SS,HdBoard,HdBoard,BrkFace,120,Gd,TA,PC,Gd,TA,No,GLQ,426,Unf,0,406,832,GasA,Ex,Y,SBrkr,832,878,0,1710,0,0,2,1,3,1,Gd,7,TF,0,NA,Attchd,1993,RFn,2,297.273248,TA,TA,Y,202.8806781,3.170578503,57.95627986,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,187000
471,120,RLD,NA,6820,Paved,NA,IR1,Lvl,AllPub,C,GS,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,SS,HdBoard,HdBoard,None,0,Gd,TA,PC,Gd,TA,Av,GLQ,368,BLQ,1120,0,1488,GasA,TA,Y,SBrkr,1502,0,0,1502,1,0,1,1,1,1,Gd,4,TF,0,NA,Attchd,1985,RFn,2,186.8793513,TA,TA,Y,284.3522022,10.12679765,18.46906849,0,140,0,NA,NA,NA,0,6,2010,WD,Normal,212000
472,60,RLD,92,11952,Paved,NA,Reg,Lvl,AllPub,I,GS,NWAmes,PosA,Norm,1Fam,2Story,7,6,1977,1977,Mansard,WS,WdShing,Plywood,None,0,TA,TA,CB,Gd,TA,No,Unf,0,Unf,0,808,808,GasA,TA,Y,SBrkr,1161,808,0,1969,0,0,2,1,3,1,TA,8,TF,1,Gd,Attchd,1977,RFn,2,768.0529483,TA,TA,Y,63.33184155,116.2051704,56.1796584,0,276,0,NA,NA,NA,0,11,2007,WD,Normal,190000
